claim_number,age_of_driver,gender,marital_status,safty_rating,annual_income,high_education_ind,address_change_ind,living_status,zip_code,claim_date,claim_day_of_week,accident_site,past_num_of_claims,witness_present_ind,liab_prct,channel,policy_report_filed_ind,claim_est_payout,age_of_vehicle,vehicle_category,vehicle_price,vehicle_color,vehicle_weight
15025,48,M,0.0,23,38722,1,1,Rent,80025,2/20/2015,Friday,Parking Lot,0,0.0,62,Broker,0,5458.542093999999,4.0,Large,41334.75412,black,31597.58567
15026,34,F,0.0,74,35268,1,1,Own,15012,8/10/2016,Wednesday,Local,0,1.0,49,Broker,0,6133.856689,9.0,Medium,8644.355448999999,other,61057.047979999996
15027,47,M,0.0,79,38508,1,0,Own,20165,4/4/2015,Saturday,Local,0,1.0,22,Broker,1,1644.239006,7.0,Medium,16648.44384,blue,17741.73389
15031,42,F,1.0,57,37375,1,1,Own,85025,1/27/2016,Wednesday,Local,0,0.0,100,Phone,1,6011.411862,4.0,Medium,13191.90426,white,21810.29982
15035,25,M,0.0,69,32192,1,1,Own,80103,2/18/2016,Thursday,Highway,1,0.0,89,Online,1,3676.0768759999996,6.0,Compact,8999.847953,red,27331.8564
15039,60,M,0.0,61,40942,1,0,Rent,85064,2/26/2015,Thursday,Parking Lot,0,1.0,90,Phone,0,2503.397034,7.0,Compact,28757.29278,white,8262.338725
15041,38,M,1.0,64,36382,1,0,Own,80005,12/13/2015,Sunday,Parking Lot,0,0.0,1,Broker,0,5185.484915,2.0,Large,57991.953610000004,black,16925.48601
15042,70,M,1.0,87,42476,1,1,Own,85046,4/20/2015,Monday,Highway,0,1.0,96,Broker,0,5504.728702,2.0,Medium,24319.57338,silver,28808.359910000003
15044,37,F,1.0,59,36121,1,1,Rent,85060,12/26/2015,Saturday,Parking Lot,0,0.0,50,Broker,0,4545.270263,5.0,Compact,19195.6117,white,18604.31604
15046,40,M,0.0,80,36879,0,0,Rent,50038,6/24/2015,Wednesday,Local,1,0.0,44,Broker,0,7795.938294,2.0,Compact,22371.10786,gray,22850.76992
15047,50,F,1.0,69,39125,1,1,Rent,80012,2/17/2015,Tuesday,Highway,1,0.0,54,Broker,0,4621.8749179999995,9.0,Large,13918.20935,black,8480.937716
15049,28,F,1.0,87,33336,0,0,Rent,20105,9/13/2015,Sunday,Local,0,0.0,81,Online,0,6676.47576,3.0,Compact,12662.16297,blue,14739.241259999999
15053,39,M,1.0,89,36633,0,1,Own,85026,11/4/2015,Wednesday,Highway,0,0.0,32,Online,1,3941.479601,5.0,Compact,18686.07858,red,30391.936530000003
15055,35,M,0.0,83,35558,1,1,Own,50051,8/31/2016,Wednesday,Local,2,1.0,92,Phone,1,3334.529827,6.0,Medium,9746.434857,silver,11362.61425
15056,70,F,1.0,44,42495,1,1,Own,15012,7/24/2015,Friday,Highway,0,0.0,8,Online,1,6935.401968000001,3.0,Large,23040.46042,blue,41506.56724
15058,50,M,1.0,74,39133,1,1,Rent,50049,9/2/2015,Wednesday,Parking Lot,0,0.0,1,Broker,1,3599.24665,4.0,Large,18110.93852,black,10907.18448
15066,51,F,1.0,87,39328,1,1,Own,15009,8/6/2016,Saturday,Highway,0,0.0,5,Online,1,3397.727223,7.0,Medium,49593.549660000004,white,23276.58815
15067,41,F,1.0,74,37140,1,1,Rent,80110,4/26/2015,Sunday,Highway,0,0.0,2,Broker,0,6055.099484,1.0,Compact,31199.953989999998,silver,31152.434039999996
15068,57,M,1.0,89,40426,1,1,Rent,85055,3/9/2016,Wednesday,Parking Lot,0,0.0,50,Broker,0,5238.487204,6.0,Large,4576.752418,red,7554.818861
15071,42,M,0.0,68,37379,0,1,Own,85020,3/16/2016,Wednesday,Parking Lot,1,0.0,57,Broker,1,9821.933245,5.0,Large,19542.70606,red,15870.01878
15072,67,F,0.0,66,42032,1,1,Own,15009,12/9/2016,Friday,Parking Lot,0,0.0,4,Broker,1,5616.298323,3.0,Medium,52871.29939,other,6159.741919
15074,51,M,1.0,74,39309,1,1,Rent,15001,7/12/2015,Sunday,Local,0,0.0,2,Broker,1,6849.198662000001,3.0,Compact,18026.60723,white,21218.56999
15075,48,M,1.0,88,38690,1,0,Own,80027,1/16/2016,Saturday,Local,0,0.0,1,Broker,0,3507.9632090000005,3.0,Large,8886.785168999999,blue,44429.077260000005
15076,45,M,0.0,97,38059,1,1,Own,85051,3/22/2016,Tuesday,Highway,0,0.0,25,Phone,1,2549.096073,3.0,Large,15569.48344,silver,30215.764410000003
15077,64,M,1.0,48,41592,0,1,Own,15003,7/9/2016,Saturday,Parking Lot,0,0.0,34,Phone,0,4636.302508,4.0,Compact,26296.41011,blue,17127.260619999997
15082,48,F,1.0,55,38706,1,0,Own,15026,9/28/2015,Monday,Local,0,0.0,83,Phone,1,9580.026431,8.0,Medium,19155.53197,other,22885.95258
15083,37,F,1.0,72,36098,1,1,Own,20160,4/12/2016,Tuesday,Local,0,0.0,50,Broker,1,6019.9014369999995,4.0,Large,15140.283969999999,blue,34149.24613
15084,47,F,1.0,82,38507,1,1,Rent,15019,8/27/2015,Thursday,Parking Lot,1,0.0,67,Broker,0,3136.307531,6.0,Medium,13816.9276,gray,34365.06239
15087,52,M,0.0,74,39490,1,1,Own,85077,8/7/2015,Friday,Local,0,0.0,80,Broker,0,6211.06128,9.0,Compact,23479.10005,silver,12548.77156
15088,51,F,1.0,95,39330,1,0,Rent,85039,8/29/2015,Saturday,Local,0,0.0,47,Broker,0,9786.613658,6.0,Medium,25024.87523,white,30154.337219999998
15089,60,F,1.0,84,40949,0,0,Own,50039,9/28/2016,Wednesday,Local,0,0.0,53,Online,1,7382.325275,2.0,Large,21806.83639,silver,33887.17819
15091,33,M,1.0,82,34981,1,0,Own,50022,11/1/2016,Tuesday,Parking Lot,0,0.0,84,Broker,0,6664.343798,6.0,Medium,14284.3513,red,11015.35878
15095,47,F,1.0,86,38485,0,0,Own,15043,8/16/2015,Sunday,Parking Lot,0,1.0,10,Phone,1,6193.718159,8.0,Large,5930.228224,other,24346.334759999998
15096,42,F,1.0,77,37368,1,0,Own,85018,9/25/2016,Sunday,Parking Lot,0,0.0,88,Online,0,5136.5963090000005,2.0,Large,54212.755379999995,white,22872.61206
15098,39,F,0.0,80,36630,1,0,Own,50011,4/2/2016,Saturday,Highway,0,0.0,99,Phone,1,3398.375823,4.0,Compact,27875.471360000003,red,23651.30411
15099,45,F,1.0,75,38075,0,1,Rent,80021,11/25/2015,Wednesday,Parking Lot,0,0.0,76,Phone,1,6711.790062,7.0,Large,9137.246708,red,14678.381830000002
15106,57,F,1.0,62,40433,0,0,Rent,85073,10/2/2015,Friday,Highway,0,0.0,68,Broker,1,8163.629976,10.0,Large,8410.923365999999,white,10225.7636
15109,38,M,1.0,58,36377,1,0,Own,80046,10/29/2015,Thursday,Parking Lot,0,1.0,14,Phone,0,7705.683379000001,6.0,Large,20372.69758,other,19553.398090000002
15110,40,F,0.0,85,36874,1,1,Own,20121,1/9/2016,Saturday,Parking Lot,0,0.0,28,Phone,1,2287.358055,5.0,Medium,18885.49768,red,36981.621269999996
15112,40,M,1.0,57,36886,0,1,Own,80014,10/17/2015,Saturday,Local,0,0.0,20,Broker,1,4686.301937,9.0,Medium,27497.79337,black,19442.58694
15116,38,F,1.0,63,36353,1,1,Own,85004,3/11/2015,Wednesday,Parking Lot,1,0.0,91,Broker,1,5459.783555,6.0,Large,22880.964180000003,silver,31019.69751
15117,29,M,0.0,69,33692,0,1,Rent,20117,11/10/2015,Tuesday,Local,2,1.0,98,Online,1,5154.5538719999995,3.0,Medium,12231.00311,gray,6614.782038
15120,31,F,0.0,84,34329,0,1,Rent,15003,4/14/2016,Thursday,Highway,2,0.0,89,Broker,1,7240.135443000001,8.0,Compact,69094.96537,blue,17316.63675
15122,42,F,1.0,90,37376,0,0,Own,20148,11/7/2016,Monday,Highway,0,0.0,29,Broker,0,4769.932358,6.0,Large,29191.73059,white,24459.01545
15123,30,M,1.0,96,33997,0,1,Own,20147,2/4/2015,Wednesday,Local,1,1.0,22,Phone,1,4449.158653,5.0,Medium,14253.077140000001,other,13909.34063
15125,36,M,1.0,90,35833,1,0,Rent,15012,7/9/2015,Thursday,Local,0,1.0,77,Broker,1,8466.775862999999,8.0,Large,8748.73157,silver,27276.271610000003
15134,36,M,1.0,85,35824,1,1,Own,15034,11/28/2016,Monday,Parking Lot,0,0.0,40,Broker,0,4200.596294,5.0,Large,26930.863839999998,white,36908.492889999994
15137,33,M,1.0,89,34955,1,0,Rent,20110,8/24/2016,Wednesday,Parking Lot,0,0.0,50,Online,1,2387.239975,7.0,Large,26507.809380000002,silver,29981.472760000004
15138,30,M,1.0,62,34016,0,0,Own,80010,8/25/2016,Thursday,Parking Lot,1,0.0,86,Broker,0,1721.402582,4.0,Large,26907.37038,other,24717.59573
15139,47,F,0.0,45,38502,0,0,Rent,50035,6/15/2015,Monday,Highway,0,1.0,26,Broker,1,5683.975458,6.0,Compact,17404.77059,silver,28908.1623
15141,31,M,1.0,64,34346,0,1,Own,50059,6/12/2015,Friday,Local,0,0.0,21,Phone,1,6263.455689,8.0,Compact,17239.02006,red,24236.11309
15148,47,F,1.0,74,38510,1,0,Rent,50034,12/6/2015,Sunday,Local,0,0.0,50,Broker,0,2050.852947,1.0,Medium,16289.374930000002,blue,27426.971680000002
15149,52,M,1.0,78,39502,1,1,Rent,20148,10/23/2016,Sunday,Highway,0,0.0,34,Online,0,6334.379741,6.0,Large,15229.08849,other,14476.456530000001
15151,55,F,1.0,83,40072,1,0,Own,20111,7/29/2015,Wednesday,Local,0,0.0,93,Broker,1,3992.105704,2.0,Compact,39712.555360000006,red,15746.7752
15152,28,F,1.0,79,33320,1,1,Rent,80027,12/23/2016,Friday,Highway,0,0.0,77,Online,1,4546.077645,2.0,Large,30425.0484,other,12379.65698
15159,30,M,0.0,75,34014,1,0,Own,20109,5/3/2015,Sunday,Local,0,0.0,17,Broker,0,2825.955132,6.0,Large,9895.123376000001,white,17295.02994
15160,47,F,1.0,2,38516,1,1,Rent,20141,12/1/2015,Tuesday,Highway,0,1.0,1,Broker,1,5248.788722,7.0,Compact,21496.27431,silver,20188.254419999997
15162,53,F,1.0,91,39699,1,1,Own,85001,9/1/2015,Tuesday,Highway,0,0.0,43,Broker,1,3659.869854,4.0,Medium,34011.469880000004,white,21420.99968
15164,39,F,1.0,80,36633,1,1,Own,85067,12/16/2016,Friday,Highway,0,0.0,93,Broker,0,8028.562647,4.0,Large,9779.295383,gray,19771.47394
15165,55,M,1.0,43,40069,1,1,Rent,20129,7/24/2016,Sunday,Highway,0,0.0,13,Broker,1,1890.000825,8.0,Large,23574.68694,red,15679.34132
15166,40,M,1.0,94,36891,0,0,Own,15057,12/16/2016,Friday,Local,0,0.0,58,Broker,1,4756.10249,3.0,Compact,10008.79267,red,26133.481330000002
15168,59,M,1.0,48,40784,1,1,Own,15025,12/8/2016,Thursday,Parking Lot,0,0.0,100,Broker,0,5198.971189,5.0,Large,39893.83313,blue,25517.35819
15175,42,M,0.0,77,37377,1,1,Own,50054,6/4/2016,Saturday,Local,0,1.0,37,Broker,0,4438.242858,8.0,Medium,44528.02908,white,21982.47036
15178,38,F,1.0,84,36387,0,0,Rent,80018,7/23/2015,Thursday,Parking Lot,0,0.0,14,Broker,1,3930.179104,7.0,Medium,35242.54256,gray,5955.137186999999
15179,36,M,0.0,92,35833,1,0,Own,20107,3/21/2015,Saturday,Parking Lot,0,0.0,19,Broker,0,1280.541973,2.0,Compact,16235.57615,white,13021.8505
15185,39,F,1.0,60,36637,1,0,Rent,50047,5/8/2016,Sunday,Highway,0,0.0,50,Online,1,5015.474421,5.0,Medium,16731.21249,blue,18295.6158
15187,35,M,1.0,91,35555,1,0,Own,20165,4/27/2015,Monday,Parking Lot,0,,2,Phone,1,2548.3008579999996,7.0,Large,12555.63978,black,20180.13319
15191,47,M,0.0,65,38485,1,1,Own,20120,11/10/2016,Thursday,Local,1,0.0,18,Broker,0,4673.785508,6.0,Compact,18721.18872,gray,19482.53249
15196,34,M,0.0,47,35284,1,1,Own,15026,1/30/2015,Friday,Highway,0,0.0,98,Phone,0,3339.8427300000003,7.0,Large,27871.373369999998,other,27992.50746
15197,35,M,0.0,82,35554,0,1,Rent,85062,11/7/2016,Monday,Parking Lot,3,0.0,64,Broker,1,5013.300974,7.0,Medium,11646.27634,red,15284.076869999999
15199,46,F,0.0,65,38275,0,1,Rent,50006,3/18/2015,Wednesday,Local,0,0.0,26,Phone,0,4737.745968,7.0,Large,38040.447980000004,black,12363.62487
15203,79,M,1.0,50,43685,1,1,Own,20116,9/25/2015,Friday,Parking Lot,0,0.0,19,Broker,1,4621.939306,5.0,Medium,26713.25938,white,24076.31866
15204,38,F,1.0,16,36390,0,0,Own,15022,9/5/2015,Saturday,Highway,0,1.0,52,Broker,1,5433.658942,5.0,Medium,15452.4486,black,36958.266560000004
15205,36,F,1.0,61,35843,1,0,Own,85066,6/8/2015,Monday,Highway,0,0.0,8,Broker,1,6563.000935,6.0,Compact,42939.874939999994,blue,27829.95631
15207,47,M,1.0,56,38491,1,0,Own,15025,2/26/2016,Friday,Highway,1,0.0,50,Broker,0,5066.111615,8.0,Medium,11345.90688,other,31905.60383
15210,38,F,1.0,78,36371,0,1,Rent,85051,11/11/2015,Wednesday,Highway,0,0.0,69,Phone,1,6146.075286,3.0,Compact,13915.952469999998,red,59123.170170000005
15212,27,M,0.0,86,32955,1,1,Rent,50011,12/7/2015,Monday,Local,1,1.0,100,Online,1,6687.784833,1.0,Large,12178.1966,silver,38415.506180000004
15215,38,M,1.0,71,36368,1,0,Rent,80103,3/6/2016,Sunday,Highway,0,1.0,0,Phone,1,3679.9963740000003,3.0,Large,19389.43022,silver,15630.8286
15220,43,M,1.0,92,37610,1,1,Rent,50052,7/17/2015,Friday,Highway,1,0.0,100,Broker,1,9946.855422,3.0,Large,34281.09233,silver,6913.7112400000005
15222,29,M,1.0,91,33671,0,0,Rent,15034,9/2/2016,Friday,Local,1,0.0,42,Online,1,4135.001569,1.0,Compact,19547.29122,blue,20452.4142
15229,46,M,1.0,63,38308,0,1,Own,85017,10/27/2016,Thursday,Highway,0,0.0,7,Broker,1,6733.410387000001,6.0,Compact,12126.39782,blue,22113.87935
15233,31,M,1.0,77,34331,1,1,Own,85075,6/12/2015,Friday,Highway,0,0.0,2,Phone,1,12175.91185,5.0,Compact,17077.41377,blue,38790.78166
15237,35,M,1.0,85,35563,0,1,Rent,85014,4/26/2016,Tuesday,Highway,0,0.0,74,Phone,0,6137.793148,4.0,Large,27391.32716,gray,23585.43878
15238,63,M,0.0,49,41426,1,0,Rent,20134,8/17/2016,Wednesday,Highway,0,0.0,98,Phone,0,4897.016729,8.0,Medium,18272.6636,gray,23397.75733
15240,43,M,0.0,88,37619,1,1,Own,15021,1/25/2015,Sunday,Highway,0,0.0,1,Online,0,4868.184015999999,3.0,Compact,22983.80384,red,12417.04723
15244,24,F,1.0,93,31779,1,0,Rent,20129,5/13/2016,Friday,Local,0,1.0,12,Phone,1,7909.80985,6.0,Compact,13594.49971,silver,8776.70543
15248,36,F,1.0,77,35842,0,0,Rent,20147,10/9/2015,Friday,Local,0,1.0,42,Broker,1,3966.6153240000003,8.0,Large,15277.210490000001,white,12637.59657
15250,37,F,0.0,69,36118,1,1,Rent,20124,3/2/2015,Monday,Highway,0,0.0,8,Broker,0,4754.8452210000005,4.0,Compact,27004.766939999998,black,23436.984630000003
15252,70,F,1.0,29,42487,1,1,Rent,20152,7/8/2016,Friday,Local,0,0.0,93,Broker,0,6522.713772,5.0,Compact,22835.55921,other,17307.948669999998
15253,41,M,1.0,74,37146,1,1,Own,20101,1/27/2016,Wednesday,Parking Lot,0,0.0,98,Phone,0,1126.9736699999999,7.0,Medium,42923.501939999995,black,28486.68409
15256,42,M,0.0,93,37376,1,0,Own,20130,4/14/2015,Tuesday,Highway,2,1.0,34,Broker,1,2634.7565489999997,5.0,Compact,31410.25745,black,10657.74229
15259,45,F,0.0,79,38078,1,1,Own,20139,4/13/2015,Monday,Highway,0,0.0,99,Broker,0,8181.0873950000005,7.0,Large,17223.80277,black,28092.48992
15264,30,F,1.0,71,34009,0,0,Rent,80041,5/18/2016,Wednesday,Local,1,1.0,30,Broker,0,2380.415193,4.0,Medium,21821.21555,gray,16311.6902
15265,29,F,1.0,59,33688,1,0,Rent,50049,4/18/2016,Monday,Highway,0,0.0,95,Online,0,3417.8354130000002,1.0,Compact,17944.61939,black,14796.774930000001
15267,42,M,1.0,64,37380,0,0,Rent,50036,6/22/2016,Wednesday,Parking Lot,0,0.0,85,Phone,0,2229.238399,3.0,Large,11638.58799,gray,19974.42104
15268,34,M,1.0,46,35238,0,1,Rent,85024,6/19/2015,Friday,Local,0,1.0,50,Broker,1,4375.1944140000005,1.0,Large,19010.15928,gray,5098.67432
15269,45,M,1.0,32,38060,0,0,Rent,15054,10/8/2016,Saturday,Local,0,1.0,74,Broker,1,2179.80624,5.0,Medium,21039.94298,black,31292.696910000002
15270,28,F,1.0,91,33324,1,0,Own,50035,8/5/2015,Wednesday,Highway,0,0.0,94,Online,0,6564.015670000001,5.0,Compact,13883.61908,black,6761.503766
15271,42,M,1.0,70,37373,0,0,Own,50009,1/26/2015,Monday,Highway,0,1.0,60,Broker,1,3496.9084780000003,4.0,Compact,37997.88912,white,12233.39275
15272,40,M,1.0,76,36893,1,1,Rent,50001,8/21/2015,Friday,Parking Lot,0,1.0,8,Online,0,6794.541905,6.0,Medium,20088.76783,other,7211.145656000001
15273,42,F,1.0,73,37387,0,0,Rent,15014,8/11/2016,Thursday,Local,1,0.0,99,Phone,1,4828.817683,4.0,Large,5800.182843,gray,7345.643813
15274,57,M,1.0,96,40443,1,0,Own,15001,3/31/2016,Thursday,Highway,0,0.0,3,Broker,0,3233.242965,7.0,Large,17319.934380000002,silver,10227.71991
15275,37,M,1.0,71,36104,1,0,Rent,15012,12/26/2016,Monday,Local,0,1.0,0,Broker,0,8410.220914,3.0,Medium,18932.35508,blue,30735.95578
15278,48,M,1.0,73,38706,1,0,Own,85035,1/1/2016,Friday,Parking Lot,0,0.0,50,Broker,0,5167.796897,1.0,Large,7001.903864,blue,18109.1962
15279,45,M,0.0,76,38063,1,1,Own,85036,9/3/2016,Saturday,Highway,2,0.0,57,Broker,1,5196.963118,6.0,Large,25654.53979,red,16895.98286
15281,47,F,1.0,41,38487,1,0,Own,15057,12/1/2016,Thursday,Highway,0,0.0,95,Broker,1,2543.6638510000002,5.0,Medium,13824.91799,white,37074.129030000004
15287,44,M,1.0,83,37820,1,0,Own,50040,9/27/2015,Sunday,Parking Lot,0,1.0,94,Broker,0,5001.1734369999995,7.0,Medium,14599.33915,silver,19620.37424
15289,46,M,0.0,53,38295,1,0,Own,85062,4/18/2016,Monday,Parking Lot,0,0.0,7,Phone,1,1425.71545,4.0,Medium,19165.78186,blue,10410.06916
15290,53,M,1.0,83,39694,1,1,Rent,50007,2/24/2015,Tuesday,Parking Lot,0,1.0,92,Phone,1,5536.552786,9.0,Medium,14756.392719999998,blue,14255.685609999999
15292,33,M,1.0,89,34968,0,1,Rent,20143,3/9/2015,Monday,Local,0,0.0,7,Broker,0,5868.586628,9.0,Large,19212.186380000003,black,4080.9564219999997
15300,47,F,1.0,87,38507,1,1,Own,15046,1/14/2016,Thursday,Parking Lot,1,0.0,86,Broker,1,7294.8304530000005,7.0,Compact,15643.308809999999,white,14467.82529
15301,54,M,0.0,84,39903,1,1,Rent,15056,8/13/2016,Saturday,Highway,1,0.0,50,Online,0,3210.709124,6.0,Compact,18576.2862,silver,33205.0978
15303,43,F,1.0,69,37613,1,1,Own,20106,1/13/2016,Wednesday,Local,0,0.0,82,Broker,1,5515.067289,7.0,Medium,18033.31736,red,32935.527239999996
15305,41,M,1.0,79,37137,1,1,Own,15046,2/25/2015,Wednesday,Local,0,0.0,26,Broker,1,6331.642661,7.0,Compact,13553.320940000001,white,27525.78447
15308,49,F,1.0,81,38913,1,1,Own,85027,6/21/2016,Tuesday,Parking Lot,0,0.0,3,Phone,0,10749.27657,4.0,Compact,27524.16862,silver,43641.11725
15310,39,M,1.0,84,36642,0,1,Own,15010,1/22/2015,Thursday,Parking Lot,1,0.0,49,Phone,0,6171.663758,7.0,Medium,16306.213430000002,silver,12552.75904
15313,51,M,0.0,31,39322,1,1,Own,80023,1/18/2016,Monday,Parking Lot,1,0.0,82,Broker,0,4942.371586,4.0,Compact,19814.19999,silver,30563.0225
15314,40,M,0.0,65,36889,1,0,Own,20144,4/24/2015,Friday,Parking Lot,0,0.0,85,Broker,0,4473.452061,5.0,Compact,27699.8811,blue,11955.17361
15315,46,M,0.0,74,38285,0,1,Rent,85077,5/22/2016,Sunday,Parking Lot,0,0.0,100,Phone,0,2516.514628,7.0,Medium,10439.560379999999,blue,18192.676359999998
15316,59,M,1.0,86,40781,1,1,Own,80010,11/7/2015,Saturday,Local,1,1.0,88,Broker,0,3025.38421,7.0,Medium,11450.17017,gray,30605.9433
15319,60,M,1.0,68,40960,1,0,Rent,50025,12/28/2016,Wednesday,Local,0,1.0,44,Phone,1,6947.009573,4.0,Large,5913.309397999999,red,20594.43177
15321,39,F,0.0,77,36619,1,0,Own,50039,9/21/2016,Wednesday,Parking Lot,1,0.0,1,Broker,1,4963.817015,4.0,Large,13709.598869999998,silver,55216.51003
15323,39,M,1.0,53,36627,1,1,Own,85006,10/23/2015,Friday,Local,0,0.0,100,Broker,0,3416.9881259999997,6.0,Compact,25890.90094,black,17542.70982
15324,64,F,1.0,69,41578,0,1,Own,80001,2/10/2016,Wednesday,Local,2,0.0,48,Broker,0,8782.446672,7.0,Compact,22266.33367,blue,12909.84131
15325,70,F,1.0,85,42470,0,1,Rent,15028,11/20/2016,Sunday,Local,0,0.0,51,Phone,1,4490.79981,8.0,Large,13024.55062,red,25585.92042
15327,40,M,1.0,71,36899,1,0,Own,85051,8/27/2016,Saturday,Highway,0,1.0,91,Broker,0,5145.405519,5.0,Medium,30731.651710000002,silver,32789.46982
15329,32,F,1.0,75,34647,1,1,Own,15054,4/14/2016,Thursday,Local,0,1.0,21,Phone,1,4890.041797999999,7.0,Compact,8706.750838,white,12036.08006
15332,60,F,1.0,87,40944,1,1,Own,80047,3/22/2016,Tuesday,Parking Lot,0,0.0,20,Broker,1,6463.876429999999,6.0,Compact,29099.199389999998,silver,25055.71335
15334,54,M,1.0,82,39879,1,1,Own,15003,10/8/2016,Saturday,Highway,0,0.0,3,Broker,0,4770.380306,4.0,Compact,29116.222660000003,red,14816.48559
15335,45,M,1.0,91,38065,1,0,Own,50051,2/11/2016,Thursday,Local,0,1.0,48,Broker,1,1608.864923,7.0,Compact,19495.7203,white,15931.36665
15336,31,M,1.0,48,34321,0,0,Rent,50022,10/13/2016,Thursday,Local,0,0.0,3,Broker,1,4804.613842,9.0,Large,30139.63373,red,15463.145680000001
15337,20,F,1.0,82,29977,1,1,Rent,20164,9/8/2015,Tuesday,Parking Lot,3,0.0,95,Online,1,4046.3838619999997,6.0,Compact,4132.1957090000005,blue,41017.90043
15342,42,F,0.0,55,37361,1,1,Own,15025,7/8/2016,Friday,Local,0,0.0,51,Phone,1,3604.963296,4.0,Compact,19742.308869999997,red,16563.69672
15343,43,M,1.0,70,37618,0,0,Own,15046,7/29/2015,Wednesday,Parking Lot,0,0.0,32,Broker,0,2169.9977910000002,4.0,Medium,31082.74001,black,26417.414530000002
15348,35,M,1.0,71,35542,1,0,Rent,20135,2/3/2015,Tuesday,Local,0,0.0,16,Broker,0,3827.0622810000004,1.0,Large,47516.02645,other,13391.26795
15352,53,M,0.0,73,39698,1,1,Rent,50020,10/30/2016,Sunday,Local,0,0.0,30,Broker,0,5743.461295,1.0,Compact,33410.18666,black,24335.39197
15356,32,M,0.0,75,34649,0,0,Own,50049,6/5/2016,Sunday,Local,2,1.0,51,Broker,1,2705.130038,5.0,Medium,16745.80235,gray,34970.12393
15357,49,M,1.0,90,38932,1,1,Own,50041,10/4/2016,Tuesday,Local,0,0.0,45,Phone,1,2694.943196,6.0,Compact,19735.41081,red,31802.045469999997
15366,45,F,1.0,46,38076,0,1,Own,15007,12/1/2015,Tuesday,Local,0,1.0,5,Broker,0,4502.197520000001,5.0,Large,45324.79146,other,22310.90767
15367,33,F,0.0,89,34968,1,1,Rent,80001,7/31/2016,Sunday,Highway,0,0.0,91,Broker,1,2482.499154,5.0,Medium,17411.28472,white,10926.48345
15369,49,M,1.0,49,38917,1,0,Own,80016,8/16/2015,Sunday,Highway,2,0.0,98,Broker,0,4019.2559810000002,4.0,Medium,42763.415219999995,other,15478.86811
15370,32,M,0.0,73,34685,0,1,Own,15017,7/7/2016,Thursday,Highway,0,0.0,98,Phone,0,5397.972881000001,5.0,Large,22754.77174,blue,27191.5808
15375,41,F,0.0,85,37153,1,1,Rent,20109,7/18/2016,Monday,Local,0,1.0,35,Broker,0,6626.406907,6.0,Large,39537.76725,white,14600.20625
15377,35,M,1.0,80,35556,1,1,Rent,80012,11/23/2015,Monday,Parking Lot,0,0.0,95,Broker,1,4167.204959000001,6.0,Large,26649.263609999998,other,26139.997669999997
15379,61,M,1.0,76,41113,1,1,Own,85017,2/12/2016,Friday,Local,2,1.0,23,Broker,1,3617.775357,3.0,Medium,25402.09529,blue,15228.13084
15380,53,F,1.0,65,39700,1,1,Own,15053,2/17/2016,Wednesday,Local,0,0.0,65,Broker,0,5301.261844,7.0,Large,24382.76061,gray,17633.95295
15383,68,F,0.0,62,42204,1,1,Own,80021,10/17/2016,Monday,Parking Lot,1,0.0,1,Broker,1,6530.100936,5.0,Medium,50607.55439,red,24929.824230000002
15384,52,F,0.0,78,39508,1,1,Own,80030,2/11/2015,Wednesday,Highway,0,0.0,2,Broker,1,2014.939239,4.0,Large,11805.4974,red,16080.68586
15396,74,F,1.0,86,43042,1,1,Own,80021,10/2/2016,Sunday,Local,0,0.0,81,Broker,1,3958.551382,3.0,Compact,11292.91366,red,8620.245911
15397,38,F,1.0,74,36388,0,1,Own,20155,9/30/2015,Wednesday,Highway,0,0.0,98,Phone,0,4256.258914,7.0,Large,5241.0284759999995,silver,12293.72607
15399,32,F,1.0,74,34658,1,0,Rent,50025,9/26/2016,Monday,Highway,0,1.0,75,Phone,1,4153.076137,6.0,Large,32720.694839999996,red,27458.48379
15400,50,F,0.0,72,39135,1,0,Rent,85044,1/14/2016,Thursday,Local,0,0.0,100,Phone,0,5120.5317079999995,2.0,Large,16079.795619999999,black,32482.9999
15404,44,M,1.0,67,37831,0,0,Own,20129,9/24/2016,Saturday,Parking Lot,1,0.0,27,Broker,1,1495.4589,2.0,Large,16038.36215,red,28366.1617
15405,35,M,1.0,85,35540,1,1,Own,20101,8/27/2016,Saturday,Local,0,0.0,68,Broker,1,10256.79419,2.0,Compact,14520.31415,black,20295.07595
15406,52,M,0.0,69,39501,1,1,Own,85069,7/17/2015,Friday,Highway,0,1.0,58,Broker,0,7731.415001,4.0,Medium,23058.594259999998,black,54374.88075
15409,39,F,1.0,74,36633,0,0,Rent,80031,12/3/2016,Saturday,Local,0,0.0,99,Phone,1,2762.808903,5.0,Large,12426.04136,black,20909.547609999998
15417,65,M,1.0,64,41757,0,0,Rent,50008,8/23/2016,Tuesday,Local,1,0.0,11,Broker,1,2388.01599,3.0,Large,31091.553910000002,blue,24293.174580000003
15418,54,M,1.0,98,39891,1,0,Rent,85072,12/15/2016,Thursday,Parking Lot,0,0.0,44,Broker,1,2672.994638,4.0,Medium,25946.9775,white,13452.26151
15421,38,F,1.0,68,36375,1,1,Rent,85033,12/3/2015,Thursday,Local,1,0.0,1,Broker,1,7251.188967,5.0,Compact,20704.644490000002,blue,21569.61222
